Type,Nom,Prix_PC,Poids_KG,Temps_Fabrication,Description,Categorie
Vetement,Habit de moine,500,1,-,Tenue religieuse,Vetement
Vetement,Habit de noble,7500,5,-,Tenue aristocrate,Vetement
Vetement,Tenue d'artisan,100,2,-,Vêtements travail,Vetement
Vetement,Tenue d'explorateur,1000,4,-,Vêtements aventure,Vetement
Vetement,Tenue de voyage,100,2.5,-,Vêtements route,Vetement
Vetement,Tenue polaire,800,3.5,-,Vêtements froid,Vetement
Vetement,Toilette royale,20000,7.5,-,Tenue royale,Vetement
Nourriture,Bain,10,0,-,Service hygiène,Service
Nourriture,Beurre motte,5,0.5,-,Produit laitier,Alimentation
Nourriture,Banquet par convive,1000,0,-,Repas festif,Alimentation
Nourriture,Bière la chope,4,0.5,-,Boisson alcoolisée,Boisson
Nourriture,Bière le litre,7,1,-,Boisson alcoolisée,Boisson
Nourriture,Cervoise la chope,8,0.5,-,Boisson alcoolisée,Boisson
Nourriture,Cidre la carafe,5,1,-,Boisson alcoolisée,Boisson
Nourriture,Eau de vie le flacon,50,0.5,-,Alcool fort,Boisson
Nourriture,Épices communes,40,0.1,-,Assaisonnement,Alimentation
Nourriture,Épices rares,200,0.1,-,Assaisonnement rare,Alimentation
Nourriture,Épices exotiques,3000,0.1,-,Assaisonnement exotique,Alimentation
Nourriture,Herbes aromatiques,20,0.1,-,Assaisonnement local,Alimentation
Nourriture,Fromage la portion,10,0.25,-,Produit laitier,Alimentation
Nourriture,Herbe à pipe,10,0.1,-,Tabac hobbit,Loisir
Nourriture,Pain la miche,2,0.25,-,Pain basique,Alimentation
Nourriture,Pain grand pain,30,4,-,Gros pain,Alimentation
Nourriture,Pain de route,50,4,-,Pain conserve,Alimentation
Nourriture,Rations sèches,50,4,-,Nourriture voyage,Alimentation
Nourriture,Rations de piste,150,2,-,Nourriture qualité,Alimentation
Nourriture,Assiette de soupe,2,0,-,Repas simple,Alimentation
Nourriture,Repas médiocre,10,0,-,Repas basique,Alimentation
Nourriture,Repas convenable,30,0,-,Repas correct,Alimentation
Nourriture,Repas bonne qualité,50,0,-,Repas de qualité,Alimentation
Nourriture,Séjour médiocre,20,0,-,Hébergement basique,Service
Nourriture,Séjour convenable,50,0,-,Hébergement correct,Service
Nourriture,Séjour bonne qualité,200,0,-,Hébergement qualité,Service
Nourriture,Viande la portion,30,0.5,-,Protéine animale,Alimentation
Nourriture,Vin de table le pichet,20,3,-,Vin ordinaire,Boisson
Nourriture,Vin ordinaire l'outre,50,3,-,Vin standard,Boisson
Nourriture,Vin bon cru la bouteille,1000,0.75,-,Vin de qualité,Boisson
Monture,Âne ou mulet,800,0,-,Bête de somme,Animal
Monture,Barde créature moyenne,0,0,-,Armure monture x2 prix x1 poids,Armure
Monture,Barde créature grande,0,0,-,Armure monture x4 prix x2 poids,Armure
Monture,Destrier léger,15000,0,-,Cheval combat léger,Animal
Monture,Destrier lourd,40000,0,-,Cheval combat lourd,Animal
Monture,Cheval léger,7500,0,-,Cheval transport,Animal
Monture,Cheval lourd,20000,0,-,Cheval travail,Animal
Monture,Poney,3000,0,-,Petite monture,Animal
Monture,Poney de guerre,10000,0,-,Poney combat,Animal
Monture,Chien de garde,2500,0,-,Animal protection,Animal
Monture,Écurie par jour,5,0,-,Hébergement animal,Service
Monture,Fontes,400,4,-,Sacoches monture,Equipement
Monture,Mors et bride,200,0.5,-,Harnais tête,Equipement
Monture,Nourriture animaux par jour,1,5,-,Alimentation animal,Alimentation
Monture,Selle d'équitation,1000,12.5,-,Selle standard,Equipement
Monture,Selle de bât,500,7.5,-,Selle transport,Equipement
Monture,Selle de guerre,2000,15,-,Selle combat,Equipement
Transport,Barque,5000,50,-,Embarcation simple,Vehicule
Transport,Rame,200,5,-,Propulsion manuelle,Equipement
Transport,Bateau à fond plat,300000,0,-,Embarcation rivière,Vehicule
Transport,Carriole,10000,300,-,Transport léger,Vehicule
Transport,Chariot,3500,200,-,Transport moyen,Vehicule
Transport,Charrette,1500,100,-,Transport simple,Vehicule
Transport,Navire de haute mer,1000000,0,-,Vaisseau océan,Vehicule
Transport,Traîneau,2000,150,-,Transport neige,Vehicule
Transport,Vaisseau de guerre,2500000,0,-,Navire combat,Vehicule
Arme,Arbalète de poing,7500,1.5,16 jours,Arme à distance légère,Arbalete
Arme,Arbalète légère,3500,3,7 jours,Arme à distance standard,Arbalete
Arme,Arbalète lourde,5000,5,16 jours,Arme à distance lourde,Arbalete
Arme,Arc composite court,7000,2,14 jours,Arc renforcé court,Arc
Arme,Arc composite long,10000,3,18 jours,Arc renforcé long,Arc
Arme,Arc court,3000,1.5,7 jours,Arc basique court,Arc
Arme,Arc d'Acier Númenóréen,15000,2,25 jours,Arc de qualité supérieure,Arc
Arme,Arc long,7500,2,9 jours,Arc basique long,Arc
Arme,Bâton de combat,100,3,1 jour,Arme contondante simple,Baton
Arme,Bolas,500,2,1 jour,Arme entravante,Jet
Arme,Boomerang,100,0.3,12 heures,Arme de jet spéciale,Jet
Arme,Ceste,100,0.5,12 heures,Gantelet clouté,Arts_Martiaux
Arme,Chat-à-neuf-queues,1000,2,1 jour,Fouet multi-lanières,Fouet
Arme,Cimeterre,1500,2,3 jours,Épée courbe,Epee
Arme,Cimeterre orque,1500,2,1 jour,Épée courbe grossière,Epee
Arme,Cimeterre Uruk-haï,1500,2,2 jours,Épée courbe améliorée,Epee
Arme,Cormal,2500,1,3 jours,Épée elfique courte,Epee
Arme,Couteau Lancé,0,0,1 jour,Lame courte jet,Couteau
Arme,Couteau Mêlée,100,0.2,1 jour,Lame courte mêlée,Couteau
Arme,Coutelas,200,0.5,2 jours,Lame courte large,Couteau
Arme,Crochet,100,0.3,12 heures,Arme contondante,Arts_Martiaux
Arme,Cuilith,20000,2,20 jours,Épée elfique fine,Epee
Arme,Dague Lancé,0,0,0,Lame fine jet,Couteau
Arme,Dague Mêlée,200,0.4,1 jour,Lame fine mêlée,Couteau
Arme,Dague de parade,200,0.4,2 jours,Arme de parade,Couteau
Arme,Dir-mac,2500,1,10 jours,Arme naine,Epee
Arme,Épée à 2 mains,4500,5,5 jours,Grande épée,Epee
Arme,Épée bâtarde 1m,3500,4,4 jours,Épée polyvalente,Epee
Arme,Épée courte,1000,2,2 jours,Épée basique,Epee
Arme,Épée large,1200,2.5,3 jours,Épée lourde,Epee
Arme,Épée longue,1500,3.5,4 jours,Épée standard,Epee
Arme,Épée orque,1000,4.5,1 jour,Épée grossière,Epee
Arme,Épieu Lancé,0,0,0,Arme d'hast jet,Hast
Arme,Épieu Mêlée,200,3,1 jour,Arme d'hast mêlée,Hast
Arme,Erincu,15000,2,20 jours,Arme elfique spéciale,Epee
Arme,Étoile du matin,800,5,3 jours,Masse à pointes,Masse
Arme,Farit-hivago,2500,2.5,12 jours,Arme spéciale,Epee
Arme,Fauchon,1000,2.5,3 jours,Épée-hache,Epee
Arme,Faucille,100,2,1 jour,Outil agricole,Outil
Arme,Filet de gladiateur,2000,2,7 jours,Arme entravante,Jet
Arme,Fléau,1500,5,5 jours,Arme articulée,Masse
Arme,Fléchette,200,0.1,12 heures,Projectile léger,Jet
Arme,Fouet,200,1,3 jours,Arme fouettante,Fouet
Arme,Fronde,100,0.5,12 heures,Arme de jet simple,Jet
Arme,Gir-mahta,5000,4,16 jours,Arme lourde spéciale,Masse
Arme,Gourdin,50,3,6 heures,Arme primitive,Masse
Arme,Hache de batailles,4000,6,3 jours,Grande hache,Hache
Arme,Hache de guerre,1000,4,2 jours,Hache combat,Hache
Arme,Hachette Lancé,0,0,0,Petite hache jet,Hache
Arme,Hachette Mêlée,500,1.5,1 jour,Petite hache mêlée,Hache
Arme,Hachoir orque,100,4,1 jour,Hache grossière,Hache
Arme,Harpon Lancé,0,0,0,Arme aquatique jet,Hast
Arme,Harpon Mêlée,500,4,1 jour,Arme aquatique mêlée,Hast
Arme,Jo,100,3,2 jours,Bâton court,Baton
Arme,Kolran,1000,0.5,1 jour,Arme spéciale,Arts_Martiaux
Arme,Lance,2000,7.5,4 jours,Arme de cavalerie,Hast
Arme,Lasso,50,0.5,1 heure,Corde entravante,Jet
Arme,Mahta-mac,5000,3,16 jours,Marteau spécial,Masse
Arme,Main-Gauche,500,0.4,2 jours,Arme de parade,Couteau
Arme,Marteau à 2 mains,1800,8,3 jours,Grand marteau,Masse
Arme,Marteau de guerre,1200,5,2 jours,Marteau combat,Masse
Arme,Masse d'arme,500,2,2 jours,Arme contondante,Masse
Arme,Masse de cavalier,1000,4,2 jours,Masse montée,Masse
Arme,Matraque,50,1,1 heure,Arme assommante,Masse
Arme,Pic de cavalier,700,3,2 jours,Arme perforante,Hast
Arme,Rapière,2000,1.5,5 jours,Épée d'estoc,Epee
Arme,Sabre,1200,2,2 jours,Épée courbe légère,Epee
Arme,Sarbacane,50,0.5,6 heures,Arme à projectiles,Jet
Arme,Stylet,100,0.2,1 jour,Lame fine,Couteau
Arme,Ti-kiri,500,0.5,3 jours,Arme spéciale,Arts_Martiaux
Arme,Trident,1500,5,2 jours,Fourche combat,Hast
Arme,Turya-raka,2500,1,2 jours,Arme spéciale,Arts_Martiaux
Armure,Tissu,100,2,12 heures,Protection minimale,Tissu
Armure,Tissu épais,200,2,1 jour,Protection légère,Tissu
Armure,Cuir souple,500,10,8 jours,Armure légère,Cuir
Armure,Cuir rigide,800,15,10 jours,Armure cuir renforcé,Cuir
Armure,Cuir clouté,1000,15,15 jours,Armure cuir clouté,Cuir
Armure,Écailles métalliques,2000,15,18 jours,Armure écailles,Maille
Armure,Brigandine,2500,15,18 jours,Armure plaques cousues,Maille
Armure,Écailles orque,1500,15,10 jours,Armure écailles grossière,Maille
Armure,Haubert de mailles,5000,15,1 mois,Chemise mailles,Maille
Armure,Cotte de mailles,7000,25,2 mois,Armure mailles complète,Maille
Armure,Cotte mailles orque,4500,30,1 mois,Mailles grossières,Maille
Armure,Cotte mailles naine,10000,30,2 mois,Mailles de qualité,Maille
Armure,Cotte mailles elfique,25000,18,4 mois,Mailles elfiques,Maille
Armure,Mailles et plates,18000,35,3 mois,Armure mixte,Plates
Armure,Haubert orque,10000,55,1 mois,Armure lourde grossière,Plates
Armure,Plates,30000,47,4 mois,Armure plates complète,Plates
Armure,Plates naine,50000,45,5 mois,Plates de qualité,Plates
Armure,Plates flûtée elfique,150000,30,6 mois,Plates elfiques,Plates
Bouclier,Targe,200,2,2 jours,Petit bouclier,Targe
Bouclier,Rondache,500,5,3 jours,Bouclier rond moyen,Rondache
Bouclier,Bouclier Rond,700,7.5,5 jours,Bouclier standard,Bouclier_Rond
Bouclier,Ecu,1000,10,5 jours,Grand bouclier,Ecu
Bouclier,Pavois,1500,15,7 jours,Très grand bouclier,Pavois
